year,organization,supplier_country,supplier_name,category,value_usd,reference
2015,UNDP,Russian Federation,"""ABLE"" LLC","Farming, Fishing Equipment",49761.28,UNDP-2015-d2a0b9d7b7d9
2025,UN Secretariat,Russian Federation,"""KEPT TAX AND ADVISORY“ LLC",Financial and Insurance Services,57407.25,UN Secretariat-2025-9868193a3029
2016,UNESCO,Russian Federation,"""RUCARTA"" LLC",Engineering and Research Services,33386.25,UNESCO-2016-76383603a588
2021,WHO,Russian Federation,ACADEMSERVICE LTD,Management and Admin Services,198687.32,WHO-2021-ff7cade93eb8
2023,ILO,Russian Federation,ACADEMY OF JUSTICE,Education and Training Services,62306.0,ILO-2023-043421b725e6
2015,UN Secretariat,Russian Federation,AEROSPETSSERVICE AIRLINE PVT. LTD.,"Transportation, Storage, Mail Services",1170000.0,UN Secretariat-2015-46b8efa3757e
2015,UN Secretariat,Russian Federation,AEROSPETSSERVICE AIRLINE PVT. LTD.,"Transportation, Storage, Mail Services",790000.0,UN Secretariat-2015-5f5f73cd5d55
2015,UN Secretariat,Russian Federation,AEROSPETSSERVICE AIRLINE PVT. LTD.,"Transportation, Storage, Mail Services",30000.0,UN Secretariat-2015-fd7cafa84de6
2021,UNDP,Russian Federation,AKIT RF,Education and Training Services,49916.94,UNDP-2021-c88c808d8612
2021,WHO,Russian Federation,ALBIOGEN COMPANY LTD,Laboratory and Testing Equipment,182731.89,WHO-2021-dcf1943a55ae
2021,WHO,Russian Federation,ALBIOGEN COMPANY LTD,"Transportation, Storage, Mail Services",4707.03,WHO-2021-dcf1943a55ae
2022,WHO,Russian Federation,ALBIOGEN COMPANY LTD,Laboratory and Testing Equipment,187438.92,WHO-2022-4787010ba521
2024,UNDP,Russian Federation,ALEKSEI GROMOV,Management and Admin Services,62508.0,UNDP-2024-a6b7189061c1
2020,WFP,Russian Federation,ALTAI FLOUR MILLS COMPANY LIMITED,Food and Beverage Products,50400.0,WFP-2020-73acd5eb09da
2020,WFP,Russian Federation,ALTAI FLOUR MILLS COMPANY LIMITED,Food and Beverage Products,36500.0,WFP-2020-4b397f4ae89b
2017,WHO,Russian Federation,AMPARUS TOUR OPERATOR LTD.,"Travel, Food and Lodging",36089.35,WHO-2017-9e1fc1d3c91d
2018,UNDP,Russian Federation,ANNA KONTSEVAYA,Management and Admin Services,36000.0,UNDP-2018-c4aa06acd724
2016,UNIDO,Russian Federation,ANO SPEP FABRIKA BIZNESA,Engineering and Research Services,116100.82,UNIDO-2016-c721c1f08f2a
2023,ILO,Russian Federation,ANODILIA SRL,Education and Training Services,37624.0,ILO-2023-0de473e6d184
2015,UPU,Russian Federation,ARTEMOVA IRINA,"Editorial, Design, Graphic Services",37651.74,UPU-2015-0d99041ca290
2015,IAEA,Russian Federation,ASPECT SCIENTIFIC PRODUCTION CENTER,Laboratory and Testing Equipment,163309.5,IAEA-2015-7fba816389a9
2016,IAEA,Russian Federation,ASPECT SCIENTIFIC PRODUCTION CENTER,Building and Maintenance Services,134732.64,IAEA-2016-4a96457b0ba5
2016,IAEA,Russian Federation,ASPECT SCIENTIFIC PRODUCTION CENTER,Laboratory and Testing Equipment,51583.58,IAEA-2016-13dbb39de3b4
2017,IAEA,Russian Federation,ASPECT SCIENTIFIC PRODUCTION CENTER,Laboratory and Testing Equipment,98989.9,IAEA-2017-3e55ab0a0906
2018,IAEA,Russian Federation,ASPECT SCIENTIFIC PRODUCTION CENTER,Laboratory and Testing Equipment,65189.13,IAEA-2018-328ee1c42965
2021,UNESCO,Russian Federation,ASSOCIATION OF SPECIALISTS IN THE,Politics and Civic Affairs Services,35048.16,UNESCO-2021-08fa01a3cca7
2018,UNIDO,Russian Federation,ASTRAKHAN STATE TECHNICAL UNIVERSIT,Politics and Civic Affairs Services,268370.0,UNIDO-2018-884d69c4262e
2015,UNDP,Russian Federation,ASV TEHNOLOGIYA OOO,"Farming, Fishing Equipment",20465.08,UNDP-2015-802ac3498399
2015,UNDP,Russian Federation,ASV TEHNOLOGIYA OOO,Material Handling Machinery,6711.96,UNDP-2015-802ac3498399
2015,UNDP,Russian Federation,ASV TEHNOLOGIYA OOO,Industrial Manufacturing Machinery,6521.74,UNDP-2015-802ac3498399
2015,UNDP,Russian Federation,ASV TEHNOLOGIYA OOO,"Transportation, Storage, Mail Services",4464.42,UNDP-2015-802ac3498399
2015,UNDP,Russian Federation,ASV TEHNOLOGIYA OOO,Tools and General Machinery,2806.84,UNDP-2015-802ac3498399
2024,UNIDO,Russian Federation,ATMOSFERA KOMFORTA M LLC,Politics and Civic Affairs Services,64627.75,UNIDO-2024-d5c53b3eebbd
2016,UNIDO,Russian Federation,ATMOSFERA KOMFORTA M OOO,Mining and Well Drilling Equipment,134566.01,UNIDO-2016-b205029fe644
2018,UNIDO,Russian Federation,ATMOSFERA KOMFORTA M OOO,Laboratory and Testing Equipment,138696.76,UNIDO-2018-c09120f3b0eb
2019,UNIDO,Russian Federation,ATMOSFERA KOMFORTA M OOO,Education and Training Services,153066.35,UNIDO-2019-41342a12933d
2022,UNIDO,Russian Federation,ATMOSFERA KOMFORTA M OOO,Education and Training Services,131000.0,UNIDO-2022-fd1d3e76cb46
2021,UNESCO,Russian Federation,AUTONOMOUS NON PROFIT ORGANIZATION,Politics and Civic Affairs Services,34461.9,UNESCO-2021-f644c70097c5
2024,UNDP,Russian Federation,AUTONOMOUS NONCOMMERCIAL ORGANIZATION OF HIGHER EDUCATION INNOPOLIS UNIVERSITY,Education and Training Services,70000.0,UNDP-2024-d3ecfa2c9933
2025,UNDP,Russian Federation,AUTONOMOUS NONCOMMERCIAL ORGANIZATION OF HIGHER EDUCATION INNOPOLIS UNIVERSITY,Education and Training Services,70000.0,UNDP-2025-fd74036ec556
2015,UN Secretariat,Russian Federation,AVIACON ZITOTRANS AIR COMPANY,"Transportation, Storage, Mail Services",248000.0,UN Secretariat-2015-f22716b302fd
2016,UN Secretariat,Russian Federation,AVIACON ZITOTRANS AIR COMPANY,"Transportation, Storage, Mail Services",3040746.0,UN Secretariat-2016-7a2346efa89e
